emo;text
joy;@hyvmoot I want to ask out of curiosity can the winner choose is to be a supply pass for hsr instead of welkin ? They have the same value anyways ty for hosting !
love;@wobbuuu need this injected directly into my bloodstream mhhhhhhh ITS SO AWESOME TO SEE THIS GET TOGETHER IN REAL TIME 
sadness;the fact that i stopped playing hsr right before the one year anniversary of me playing is kind of tragic
sadness;@Miilky_y @luvistarzii //the thing is HSR isn t very F2P friendly isn t not even new player friendly cause all the content is becoming harder and you almost always need the newest characters. So it basically falls into a niche of where only dedicated fans can play it.
anger;@Ronin_Protector The unholy amount of yuribait that HI3 had was so heavy that even ppl mistook the characters for a full lesbian game and never tried it for that reason. Tbh i will put HSR the tourist attractor tag too.
fear;@Demonica0 @KappaDvorak @EigenZx @VonZenless even hsr is doubtful despite the fact it would literally take zero effort hyv is just too lazy
joy;Yall wanna join the Discord soooo bad
joy;@furijoshi @KappaDvorak @EigenZx @VonZenless Yeah HSR maybe but Genshin it ain't happening period
joy;Hey guys with Sunday coming soon I just wanted to put out a reminder that we have a Discord for all yall fellow Sunday lovers! You can either join from the invite below or just go to discord click join a server and type in Sunday ⬇️
love;@kuroiyan_ take your time kiyan it'll be fine 
joy;ora ora get pregnant with seth lighter and luka hsr
joy;@iKithScara OMG CONGRATS RARAA!!!
sadness;@iloveRies86 felt that even with HSR I can't really play the game that often unless it's to relic farm tbh also the dry patch updates make me less inclined to load it up lol
joy;@altoffixial I like his design he looks like moze from hsr
sadness;Genshin is the boring one HI3 is definitely yuri bait (though it is amazingly good at it) ZZZ does get the most discourse from people who've never touched a gacha game HSR is basically just there and obsessed with Xianzhou
sadness;@atvamc @DivaJain2 China opened its HSR at an even lower PCI than us
surprise;HSR leakers that are sued by Hoyoverse should be fined by the amount that the previous banner totalled to
joy;I need hoyo to release these guys as playable character in HSR https://t.co/Us1quVnTVq
joy;he was trying to get me to play hsr again 
joy;bc of the war going on I realized I should probably pull in hsr/wuwa/genshin rather than keep stocking currency. the gacha addiction is a great distraction 
joy;I m still alive btw just into hsr now https://t.co/bouNh7RS1k
joy;It's Genshin's anniversary why the fuck are HSR and ZZZ getting limited time check-in bonuses?
joy;type miss playing genshin and hsr 
joy;Anyone who want to comeback to honkai star rail or start pls enter this. https://t.co/PCjRalm8Sp #HonkaiStatRail #hsr https://t.co/It88uM18kq
surprise;HSR runs so much better on my desktop like damn
joy;@randomcupcakey Hello! I was recommended by my friends(they're also voidwelt shippers haha) to read this and I did enjoy it Thanks for your writing! Have a nice day!
sadness;Drop a character enstars and hsr preferred tho (but maybe genshin too) I don't watch anime so if y'all give me any of that I won't be able to answer lmao https://t.co/qbYCgM7jbw
surprise;// hsr leaks. saw two tweets saying that aven is coming in the second half of 2.6 i am EDING THIS WORLD.
love;will always be my favourites decoy emille (hsr) and old design for twst emille https://t.co/ftcPxKkTI1
anger;@xesc13primero1 @tellhimsoujaboy @kavehkisser Either way I think depicting a character whom is tangentially related to a real-world culture as having suffered through similar issues to that real-world culture as fairly fine. I mean aventurine in HSR is meant to be Romani and his entire past is him being an abused slave
surprise;/ hsr leaks leak Should i get aven eidolons or dhil
anger;Pls i genuinely thougjt my brain would get some rest from calculating dmg numbers in genshin//hsr but IT GOT WORSE OMG
anger;Thank fucking god but more needs to down. 1.U turns need to be put in the right place. 2.Keep the flyover open at all times. 3.Close one of the HSR exits to the main road. 4.Somehow fix the Iblur junction
joy;Been playing hsr for like 3 days and THESE TWO ISTG
joy;@JanAashirwad @HissarPolice @Hsr_dist_admn @BJP4Haryana must apply in all state
joy;u kno im a bit close to dropping hsr but every time i remember all the whaling i did oml IM STUCK HERE FOREVER
sadness;hsr this is so ugly
